"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"2491",2491,42,"42-1","42-1-Q-1063","Q-1063",655,"Bob Saroya","Markham—Unionville",1,"2017/05/18","Notice"
"2492",2492,42,"42-1","42-1-Q-1064","Q-1064",460,"Dave MacKenzie","Oxford",2,"2017/09/18","Answered"
"2493",2493,42,"42-1","42-1-Q-1064","Q-1064",460,"Dave MacKenzie","Oxford",1,"2017/06/05","Notice"
"2494",2494,42,"42-1","42-1-Q-1065","Q-1065",460,"Dave MacKenzie","Oxford",1,"2017/06/05","Notice"
"2495",2495,42,"42-1","42-1-Q-1065","Q-1065",460,"Dave MacKenzie","Oxford",2,"2017/09/18","Made an Order for Return and answer tabled "
"2496",2496,42,"42-1","42-1-Q-1066","Q-1066",26,"Charlie Angus","Timmins—James Bay",1,"2017/06/05","Notice"
"2497",2497,42,"42-1","42-1-Q-1066","Q-1066",26,"Charlie Angus","Timmins—James Bay",2,"2017/09/18","Made an Order for Return and answer tabled "
"2498",2498,42,"42-1","42-1-Q-1067","Q-1067",26,"Charlie Angus","Timmins—James Bay",1,"2017/06/05","Notice"
"2499",2499,42,"42-1","42-1-Q-1067","Q-1067",26,"Charlie Angus","Timmins—James Bay",2,"2017/09/18","Made an Order for Return and answer tabled "
"2500",2500,42,"42-1","42-1-Q-1068","Q-1068",88,"Steven Blaney","Bellechasse—Les Etchemins—Lévis",1,"2017/06/06","Notice"
"2501",2501,42,"42-1","42-1-Q-1068","Q-1068",87,"Rachel Blaney","Bellechasse—Les Etchemins—Lévis",1,"2017/06/06","Notice"
"2502",2502,42,"42-1","42-1-Q-1068","Q-1068",88,"Steven Blaney","Bellechasse—Les Etchemins—Lévis",2,"2017/09/18","Made an Order for Return and answer tabled "
"2503",2503,42,"42-1","42-1-Q-1068","Q-1068",87,"Rachel Blaney","Bellechasse—Les Etchemins—Lévis",2,"2017/09/18","Made an Order for Return and answer tabled "
"2504",2504,42,"42-1","42-1-Q-1069","Q-1069",37,"Robert Aubin","Trois-Rivières",2,"2017/09/18","Answered"
"2505",2505,42,"42-1","42-1-Q-1069","Q-1069",37,"Robert Aubin","Trois-Rivières",1,"2017/06/06","Notice"
"2506",2506,42,"42-1","42-1-Q-1070","Q-1070",289,"Randall Garrison","Esquimalt—Saanich—Sooke",1,"2017/06/06","Notice"
"2507",2507,42,"42-1","42-1-Q-1070","Q-1070",289,"Randall Garrison","Esquimalt—Saanich—Sooke",2,"2017/09/18","Answered"
"2508",2508,42,"42-1","42-1-Q-1071","Q-1071",483,"Brian Masse","Windsor West",1,"2017/06/06","Notice"
"2509",2509,42,"42-1","42-1-Q-1071","Q-1071",483,"Brian Masse","Windsor West",2,"2017/09/18","Answered"
"2510",2510,42,"42-1","42-1-Q-1072","Q-1072",465,"Sheila Malcolmson","Nanaimo—Ladysmith",2,"2017/09/18","Made an Order for Return and answer tabled "
"2511",2511,42,"42-1","42-1-Q-1072","Q-1072",465,"Sheila Malcolmson","Nanaimo—Ladysmith",1,"2017/06/07","Notice"
"2512",2512,42,"42-1","42-1-Q-1073","Q-1073",628,"Blake Richards","Banff—Airdrie",1,"2017/06/07","Notice"
"2513",2513,42,"42-1","42-1-Q-1073","Q-1073",628,"Blake Richards","Banff—Airdrie",2,"2017/09/18","Answered"
"2514",2514,42,"42-1","42-1-Q-1074","Q-1074",719,"David Sweet","Flamborough—Glanbrook",1,"2017/06/08","Notice"
"2515",2515,42,"42-1","42-1-Q-1074","Q-1074",719,"David Sweet","Flamborough—Glanbrook",2,"2017/09/18","Answered"
"2516",2516,42,"42-1","42-1-Q-1075","Q-1075",111,"John Brassard","Barrie—Innisfil",2,"2017/09/18","Made an Order for Return and answer tabled "
"2517",2517,42,"42-1","42-1-Q-1075","Q-1075",111,"John Brassard","Barrie—Innisfil",1,"2017/06/08","Notice"
"2518",2518,42,"42-1","42-1-Q-1076","Q-1076",289,"Randall Garrison","Esquimalt—Saanich—Sooke",2,"2017/09/18","Answered"
"2519",2519,42,"42-1","42-1-Q-1076","Q-1076",289,"Randall Garrison","Esquimalt—Saanich—Sooke",1,"2017/06/09","Notice"
"2520",2520,42,"42-1","42-1-Q-1077","Q-1077",774,"Dianne L. Watts","South Surrey—White Rock",2,"2017/09/18","Made an Order for Return and answer tabled "
"2521",2521,42,"42-1","42-1-Q-1077","Q-1077",774,"Dianne L. Watts","South Surrey—White Rock",1,"2017/06/12","Notice"
"2522",2522,42,"42-1","42-1-Q-1078","Q-1078",300,"Marilyn Gladu","Sarnia—Lambton",2,"2017/09/18","Made an Order for Return and answer tabled "
"2523",2523,42,"42-1","42-1-Q-1078","Q-1078",300,"Marilyn Gladu","Sarnia—Lambton",3,"2018/09/17","Made an Order for Return and revised answer tabled "
"2524",2524,42,"42-1","42-1-Q-1078","Q-1078",300,"Marilyn Gladu","Sarnia—Lambton",1,"2017/06/12","Notice"
"2525",2525,42,"42-1","42-1-Q-1079","Q-1079",531,"Glen Motz","Medicine Hat—Cardston—Warner",1,"2017/06/12","Notice"
"2526",2526,42,"42-1","42-1-Q-1079","Q-1079",531,"Glen Motz","Medicine Hat—Cardston—Warner",2,"2017/09/18","Made an Order for Return and answer tabled "
"2527",2527,42,"42-1","42-1-Q-1080","Q-1080",492,"Phil McColeman","Brantford—Brant",1,"2017/06/12","Notice"
"2528",2528,42,"42-1","42-1-Q-1080","Q-1080",492,"Phil McColeman","Brantford—Brant",2,"2017/09/18","Made an Order for Return and answer tabled "
"2529",2529,42,"42-1","42-1-Q-1081","Q-1081",289,"Randall Garrison","Esquimalt—Saanich—Sooke",2,"2017/09/18","Made an Order for Return and answer tabled "
"2530",2530,42,"42-1","42-1-Q-1081","Q-1081",289,"Randall Garrison","Esquimalt—Saanich—Sooke",1,"2017/06/12","Notice"
"2531",2531,42,"42-1","42-1-Q-1082","Q-1082",601,"Pierre Poilievre","Carleton",2,"2017/09/18","Made an Order for Return and answer tabled "
"2532",2532,42,"42-1","42-1-Q-1082","Q-1082",601,"Pierre Poilievre","Carleton",1,"2017/06/12","Notice"
"2533",2533,42,"42-1","42-1-Q-1083","Q-1083",601,"Pierre Poilievre","Carleton",1,"2017/06/12","Notice"
"2534",2534,42,"42-1","42-1-Q-1083","Q-1083",601,"Pierre Poilievre","Carleton",2,"2017/09/18","Answered"
"2535",2535,42,"42-1","42-1-Q-1084","Q-1084",82,"Daniel Blaikie","Elmwood—Transcona",2,"2017/09/18","Answered"
"2536",2536,42,"42-1","42-1-Q-1084","Q-1084",81,"Bill Blaikie","Elmwood—Transcona",2,"2017/09/18","Answered"
"2537",2537,42,"42-1","42-1-Q-1084","Q-1084",82,"Daniel Blaikie","Elmwood—Transcona",1,"2017/06/12","Notice"
"2538",2538,42,"42-1","42-1-Q-1084","Q-1084",81,"Bill Blaikie","Elmwood—Transcona",1,"2017/06/12","Notice"
"2539",2539,42,"42-1","42-1-Q-1085","Q-1085",483,"Brian Masse","Windsor West",2,"2017/09/18","Made an Order for Return and answer tabled "
"2540",2540,42,"42-1","42-1-Q-1085","Q-1085",483,"Brian Masse","Windsor West",1,"2017/06/13","Notice"
