"Downloaded on",05/09/2020,"21:07:08 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22Senate%22%7D

Name,URL,State,District,Party,Terms
"Senator Cortez Masto, Catherine ",https://www.congress.gov/member/catherine-cortez-masto/C001113,Nevada,,Democratic,"Senate: 2017-Present"
"Senator Corzine, Jon S.",https://www.congress.gov/member/jon-corzine/C001042,"New Jersey",,Democratic,"Senate: 2001-2006"
"Senator Cotton, Norris",https://www.congress.gov/member/norris-cotton/C000802,"New Hampshire",,Republican,"Senate: 1953-1977 | House: 1947-1953"
"Senator Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Senator Coverdell, Paul",https://www.congress.gov/member/paul-coverdell/C000813,Georgia,,Republican,"Senate: 1993-2000"
"Senator Cowan, William M.",https://www.congress.gov/member/william-mo-cowan/C001099,Massachusetts,,Democratic,"Senate: 2013"
"Senator Craig, Larry E.",https://www.congress.gov/member/larry-craig/C000858,Idaho,,Republican,"Senate: 1991-2009 | House: 1981-1991"
"Senator Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,"North Dakota",,Republican,"Senate: 2019-Present | House: 2013-2019"
"Senator Cranston, Alan",https://www.congress.gov/member/alan-cranston/C000877,California,,Democratic,"Senate: 1969-1993"
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,"Senate: 1999-Present | House: 1993-1999"
"Senator Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Texas,,Republican,"Senate: 2013-Present"
"Senator Culver, John C.",https://www.congress.gov/member/john-culver/C000979,Iowa,,Democratic,"Senate: 1975-1981 | House: 1965-1975"
"Senator Curtis, Carl T.",https://www.congress.gov/member/carl-curtis/C001006,Nebraska,,Republican,"Senate: 1955-1979 | House: 1939-1955"
"Senator D'Amato, Alfonse",https://www.congress.gov/member/alfonse-d-amato/D000018,"New York",,Republican,"Senate: 1981-1999"
"Senator Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Senator Danforth, John C.",https://www.congress.gov/member/john-danforth/D000030,Missouri,,Republican,"Senate: 1977-1995"
"Senator Daschle, Thomas A.",https://www.congress.gov/member/thomas-daschle/D000064,"South Dakota",,Democratic,"Senate: 1987-2005 | House: 1979-1987"
"Senator Dayton, Mark",https://www.congress.gov/member/mark-dayton/D000596,Minnesota,,Democratic,"Senate: 2001-2007"
"Senator DeConcini, Dennis",https://www.congress.gov/member/dennis-deconcini/D000185,Arizona,,Democratic,"Senate: 1977-1995"
"Senator DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,"South Carolina",,Republican,"Senate: 2005-2012 | House: 1999-2005"
"Senator Denton, Jeremiah",https://www.congress.gov/member/jeremiah-denton/D000259,Alabama,,Republican,"Senate: 1981-1987"
"Senator DeWine, Mike",https://www.congress.gov/member/michael-dewine/D000294,Ohio,,Republican,"Senate: 1995-2007 | House: 1983-1991"
"Senator Dixon, Alan J.",https://www.congress.gov/member/alan-dixon/D000366,Illinois,,Democratic,"Senate: 1981-1993"
"Senator Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,,Democratic,"Senate: 1981-2011 | House: 1975-1981"
"Senator Dole, Elizabeth",https://www.congress.gov/member/elizabeth-dole/D000601,"North Carolina",,Republican,"Senate: 2003-2009"
"Senator Dole, Robert J.",https://www.congress.gov/member/robert-dole/D000401,Kansas,,Republican,"Senate: 1969-1997 | House: 1961-1969"
"Senator Domenici, Pete V.",https://www.congress.gov/member/pete-domenici/D000407,"New Mexico",,Republican,"Senate: 1973-2009"
"Senator Dominick, Peter H.",https://www.congress.gov/member/peter-dominick/D000409,Colorado,,Republican,"Senate: 1973-1975 | House: 1961-1963"
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,,Democratic,"Senate: 2013-2019 | House: 2007-2013"
"Senator Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,"North Dakota",,Democratic,"Senate: 1991-2011 | House: 1981-1993"
"Senator Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,,Democratic,"Senate: 2017-Present | House: 2013-2017"
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,"Senate: 1997-Present | House: 1983-1997"
"Senator Durenberger, Dave",https://www.congress.gov/member/david-durenberger/D000566,Minnesota,,Republican,"Senate: 1977-1995"
"Senator Durkin, John A.",https://www.congress.gov/member/john-durkin/D000574,"New Hampshire",,Democratic,"Senate: 1975-1981"
"Senator Eagleton, Thomas F.",https://www.congress.gov/member/thomas-eagleton/E000004,Missouri,,Democratic,"Senate: 1967-1987"
"Senator East, John P.",https://www.congress.gov/member/john-east/E000017,"North Carolina",,Republican,"Senate: 1981-1987"
"Senator Eastland, James O.",https://www.congress.gov/member/james-eastland/E000018,Mississippi,,Democratic,"Senate: 1941-1979"
"Senator Edwards, John",https://www.congress.gov/member/john-edwards/E000286,"North Carolina",,Democratic,"Senate: 1999-2005"
