"uri","date","title","uin"
"http://data.parliament.uk/resources/104500","2009-12-01","That the draft Criminal Defence Service (Representation Orders) (Amendment) Regulations 2009, which were laid before this House on 28 October, in the previous Session of Parliament, be approved","CD:2009-12-01:9"
"http://data.parliament.uk/resources/104496","2009-11-30","Financial Services Bill (Programme) Motion made, and Question put forthwith (Standing Order No. 83A (7))","CD:2009-11-30:5"
"http://data.parliament.uk/resources/104494","2009-11-26","Taxation (international and other Provisions) Bill, that the amendment by Mr George Osborne be made","CD:2009-11-26:3"
"http://data.parliament.uk/resources/104495","2009-11-26","Taxation (international and other Provisions) Bill, Question put forthwith, That the Amendment be made (Standing Order No. 33)","CD:2009-11-26:4"
"http://data.parliament.uk/resources/104492","2009-11-25","Adjournment (Christmas), That this House, at its rising on Wednesday 16 December 2009, do adjourn till Tuesday 5 January 2010","CD:2009-11-25:1"
"http://data.parliament.uk/resources/104493","2009-11-25","Home Office and Work and Pensions, Question put accordingly, That the amendment be made","CD:2009-11-25:2"
"http://data.parliament.uk/resources/104491","2009-11-12","Coroners and Justice Bill, Question put, That amendment (a) to Lords amendment 1B be made","CD:2009-11-12:248"
"http://data.parliament.uk/resources/104489","2009-11-11","Apprenticeships, Skills, Children and Learning bill (Programme) (no.2)) Motion made, and Question put forthwith (Standing Order No. 83A","CD:2009-11-11:246"
"http://data.parliament.uk/resources/104490","2009-11-11","Apprenticeships, Skills, Children and Learning Bill, Amendment (a) proposed to Lords amendment 124","CD:2009-11-11:247"
"http://data.parliament.uk/resources/104488","2009-11-10","Welfare Reform Bill, That this House disagrees with Lords amendment 2","CD:2009-11-10:245"
"http://data.parliament.uk/resources/104483","2009-11-09","Coroners and Justice Bill (Programme) (No.4), Motion made, and Question put forthwith (Standing Order No. 83A)","CD:2009-11-09:240"
"http://data.parliament.uk/resources/104484","2009-11-09","Coroners and Justice Bill Amendment (a) proposed in lieu of Lords Amendments 1,2 and 216","CD:2009-11-09:241"
"http://data.parliament.uk/resources/104485","2009-11-09","Coroners and Justice Bill, That this House disagrees with Lords amendment 55","CD:2009-11-09:242"
"http://data.parliament.uk/resources/104486","2009-11-09","Coroners and Justice Bill, That this House disagrees with Lords amendment 59","CD:2009-11-09:243"
"http://data.parliament.uk/resources/104487","2009-11-09","Coroners and Justice Bill, That this House disagrees with Lords amendment 66","CD:2009-11-09:244"
"http://data.parliament.uk/resources/104481","2009-11-04","Constitutional Reform and Governance Bill, Question put, That the new clause 22 be read a Second time, sitting in committee","CD:2009-11-04:238"
"http://data.parliament.uk/resources/104482","2009-11-04","Constitutional Reform and Governance Bill, Question put, That the amendment be made, sitting committee","CD:2009-11-04:239"
"http://data.parliament.uk/resources/104477","2009-11-03","Constitutional Reform and Governance Bill (Programme) (No. 2), Three quarters of an hour having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 83A)","CD:2009-11-03:234"
"http://data.parliament.uk/resources/104478","2009-11-03","Constitutional Reform and Governance Bill, Question put, That the amendment be made, sitting in committee","CD:2009-11-03:235"
"http://data.parliament.uk/resources/104479","2009-11-03","Constitutional Reform and Governance Bill, Question put, That the amendment 48 be made, sitting in committee","CD:2009-11-03:236"
"http://data.parliament.uk/resources/104480","2009-11-03","Constitutional Reform and Governance Bill, Question put, That the clause be added to the Bill, sitting in committee","CD:2009-11-03:237"
"http://data.parliament.uk/resources/104475","2009-10-28","Local Spending Reports, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-28:232"
"http://data.parliament.uk/resources/104476","2009-10-28","Future of the Territorial Army, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-28:233"
"http://data.parliament.uk/resources/104474","2009-10-27","Marine and Coastal Access Bill (Lords), Question put, That the amendment be made","CD:2009-10-27:231"
"http://data.parliament.uk/resources/104473","2009-10-26","Marine and Coastal Access Bill (Lords), Mr. Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the amendment be made","CD:2009-10-26:230"
"http://data.parliament.uk/resources/104471","2009-10-21","Equitable Life, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-21:228"
"http://data.parliament.uk/resources/104472","2009-10-21","Climate Change (Political Response), Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-21:229"
"http://data.parliament.uk/resources/104470","2009-10-20","Constitutional Reform and Governance Bill (Carry-Over), Motion made, and Question put forthwith (Standing Order No. 80A)","CD:2009-10-20:227"
"http://data.parliament.uk/resources/104468","2009-10-19","Economic Recovery and Welfare, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-19:225"
"http://data.parliament.uk/resources/104469","2009-10-19","Economic Recovery and Welfare, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added","CD:2009-10-19:226"
"http://data.parliament.uk/resources/104463","2009-10-16","Damages (Asbestos-Related Conditions) Bill, Question put, That the amendment be made","CD:2009-10-16:220"
"http://data.parliament.uk/resources/104464","2009-10-16","Damages (Asbestos-Related Conditions) Bill, Question put, That the amendment 16 be made","CD:2009-10-16:221"
"http://data.parliament.uk/resources/104465","2009-10-16","Damages (Asbestos-Related Conditions) Bill, Question put, That the Bill be now read the Third time","CD:2009-10-16:222"
"http://data.parliament.uk/resources/104466","2009-10-16","Law Commission Bill (Lords), Question put, That the amendment be made","CD:2009-10-16:223"
"http://data.parliament.uk/resources/104467","2009-10-16","Law Commission Bill (Lords), Question put, That the amendment be made","CD:2009-10-16:224"
"http://data.parliament.uk/resources/104461","2009-10-14","Higher Education, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-14:218"
"http://data.parliament.uk/resources/104462","2009-10-14","NHS Dentistry, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-10-14:219"
"http://data.parliament.uk/resources/104456","2009-10-13","Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the new clause 3 be read a Second time","CD:2009-10-13:213"
"http://data.parliament.uk/resources/104457","2009-10-13","Local Democracy, Economic Development and Construction Bill (Lords), Question put, That new clause 8 be read a second time","CD:2009-10-13:214"
"http://data.parliament.uk/resources/104458","2009-10-13","Local Democracy, Economic Development and Construction Bill (Lords), Question put, That new clause 13 be read a second time","CD:2009-10-13:215"
"http://data.parliament.uk/resources/104459","2009-10-13","Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the amendment 27 be made","CD:2009-10-13:216"
"http://data.parliament.uk/resources/104460","2009-10-13","Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the Bill be now read the Third time","CD:2009-10-13:217"
"http://data.parliament.uk/resources/104451","2009-10-12","Health Bill (Lords), Question put, That the new clause 12 be read a Second time","CD:2009-10-12:209"
"http://data.parliament.uk/resources/104452","2009-10-12","Health Bill (Lords), Question put, That the clause be read a Second time","CD:2009-10-12:210"
"http://data.parliament.uk/resources/104454","2009-10-12","Health Bill (Lords), Question put, That the amendment be made","CD:2009-10-12:211"
"http://data.parliament.uk/resources/104455","2009-10-12","Health Bill (Lords), The Deputy Speaker then put forthwith the Questions necessary for the disposal of the business to be concluded at that time (Standing Order No. 83E","CD:2009-10-12:212"
"http://data.parliament.uk/resources/104448","2009-07-21","Issue of Writ, (Glasgow, North East by-election), Question put, That the amendment be made to; To leave out from “That” to the end of the Question and add “this House do pass to the Orders of the Day.”","CD:2009-07-21:206"
"http://data.parliament.uk/resources/104449","2009-07-21","Parliamentary Steandards Bill (Programme) (No. 2) Motion made, and Question put forthwith (Standing Order No. 83 (7) A)","CD:2009-07-21:207"
"http://data.parliament.uk/resources/104450","2009-07-21","Parliamentary Standards Bill, The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83 F ) , That amendment (a) to Lords amendment 1 be made","CD:2009-07-21:208"
"http://data.parliament.uk/resources/104446","2009-07-20","Select Committee on Reform of the House of Commons,The Parliamentary Secretary to the Treasury (Mr. Nicholas Brown) claimed to move the closure (Standing Order No.36). Question put forthwith, That the Question be now put","CD:2009-07-20:204"
"http://data.parliament.uk/resources/104447","2009-07-20","Select Committee on Reform of the House of Commons, Question put accordingly , That the amendment be made","CD:2009-07-20:205"
"http://data.parliament.uk/resources/104443","2009-07-15","East Midlands Regional Grand Committee take questions under Standing Order No. 117B (Regional Grand Committees (questions for oral answer)","CD:2009-07-15:201"
"http://data.parliament.uk/resources/104444","2009-07-15","US-UK Extradition Treaty, Question put (Standing Order No. 31(2), That the original words stand part of the Question","CD:2009-07-15:202"
"http://data.parliament.uk/resources/104445","2009-07-15","Caring for the Elderly, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2009-07-15:203"
"http://data.parliament.uk/resources/104442","2009-07-14","Borders, Citizenship and Immigration Bill (Lords), Question put, That New clause 3 be read a Second time","CD:2009-07-14:200"
"http://data.parliament.uk/resources/104440","2009-07-13","Political Parties and Elections Bill (Extension of Carry-over) shall lapse in pursuance of paragraph (13) of Standing Order No. 80A shall be extended by 15 weeks until 29 October 2009","CD:2009-07-13:198"
"http://data.parliament.uk/resources/104441","2009-07-13","Political parties and elections Bill (programme) (NO.4), Motion made, and Question put forthwith (Standing Order No. 83A(7))","CD:2009-07-13:199"
"http://data.parliament.uk/resources/104438","2009-07-09","Prevention and Suppression of Terrorism, Question put","CD:2009-07-09:196"
"http://data.parliament.uk/resources/104439","2009-07-09","Council Tax, Question put","CD:2009-07-09:197"
"http://data.parliament.uk/resources/104430","2009-07-08","Justice and Security, That the draft Justice and Security (Northern Ireland) Act 2007 (Extension of duration of non-jury trial provisions) Order 2009, which was laid before this House on 8 June, be approved","CD:2009-07-08:188"
"http://data.parliament.uk/resources/104431","2009-07-08","Identity Cards, That the draft Identity Cards Act 2006 (Provision of Information without Consent) Regulations 2009, which were laid before this House on 6 May, be approved","CD:2009-07-08:189"
"http://data.parliament.uk/resources/104432","2009-07-08","Identity Cards, That the draft Identity Cards Act 2006 (Information and Code of Practice on Penalties) Order 2009, which was laid before this House on 6 May, be approved","CD:2009-07-08:190"
"http://data.parliament.uk/resources/104433","2009-07-08","Identity Cards, That the draft Identity Cards Act 2006 (Fees) Regulations 2009, which were laid before this House on 6 May, be approved","CD:2009-07-08:191"
"http://data.parliament.uk/resources/104434","2009-07-08","Identity Cards That the draft Identity Cards Act 2006 (Application and Issue of ID Card and Notification of Changes ) Regulations 2009, which were laid before the House on 9 June, be approved","CD:2009-07-08:192"
"http://data.parliament.uk/resources/104435","2009-07-08","Identity Cards That the draft Identity Cards Act 2006 (Prescribed Information) Regulations 2009, which were laid before this House on 9 June, be approved","CD:2009-07-08:193"
